obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle
obstacle,clean,clean,clean,clean,clean,clean,clean,clean,obstacle
obstacle,clean,clean,clean,clean,clean,clean,clean,clean,obstacle
obstacle,clean,vacuum,clean,dirt,clean,clean,clean,clean,obstacle
obstacle,clean,clean,clean,clean,clean,dirt,clean,clean,obstacle
obstacle,clean,clean,clean,clean,clean,clean,clean,clean,obstacle
obstacle,clean,clean,clean,clean,clean,clean,clean,clean,obstacle
obstacle,clean,clean,clean,clean,clean,clean,clean,clean,obstacle
obstacle,clean,clean,clean,clean,clean,clean,clean,clean,obstacle
obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle
