obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle
obstacle,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,obstacle
obstacle,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,obstacle
obstacle,dirt,vacuum,dirt,dirt,dirt,dirt,dirt,dirt,obstacle
obstacle,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,obstacle
obstacle,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,obstacle
obstacle,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,obstacle
obstacle,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,obstacle
obstacle,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,obstacle
obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle,obstacle
